code	product_name	energy_100g	proteins_100g	fat_100g	carbohydrates_100g	sugars_100g	energy-kcal_100g	saturated-fat_100g	salt_100g	sodium_100g	fiber_100g	fruits-vegetables-nuts-estimate-from-ingredients_100g	nutrition-score-fr_100g
0003303547029	Whole wheat pita bread	1271	10.126582278481	8.8607594936709	50.632911392405	1.2658227848101	303.79746835443	0.63291139240506	1.6772151898734	0.67088607594936	5.0632911392405		
00033046	British Beef Braising Steak	615	22.1	6.4	0	0		2.6	0.1778	0.07112	0	0	-2
00033060	Shaker Duo Melon/Fraise	159	0.69999998807907	0	7.1999998092651	5.5999999046326	38	0	0	0			
00033077	Shaker trio Melon/Kiwi/Fraises	167	0.69999998807907	0	7.3000001907349	5.9000000953674	40	0	0	0			
0003310933006	Wraps chia	1343	9.67741935483871	7.74193579150784	46.7741935483871	2.74193556078019	320.967741935484	1.12903223883721					
0003312007958	Pocket	37656	700	100	1400		9000				600		
00033312	Compote de pomme banane	322	0.4	0.5	16.8	12.3	77	0.2	0.01	0.004	1.8	96	-4
00033343	Chatau les BAZILLES					0		0					
0003336818561	Happy Hoagie BBQ Sandwich	785	15.625	5.72916666666667	21.3541666666667	4.16666666666667	187.5				1.04166666666667		
00033466	Frozen chicken breast meat	486	22.321428571429	2.2321428571429	0	0	116.07142857143	0.44642857142857	0.12276785714286	0.049107142857144	0		
00033480	Frozen Boneless skinless chicken thigh meat	630	15.068493150685	9.5890410958904	0	0	150.68493150685	2.7397260273973	0.18835616438356	0.075342465753424	0		
0003351011602	Animal Crackers	1813	6.66666666666667	13.3333333333333	76.6666666666667	20	433.333333333333	1.00000003973643			6.66666666666667		
0003359756703	Purified water	0	0	0	0	0	0	0	0	0	0		
00033619	Orgainc Quick Cook Oats	1569	15	7.5	67.5	2.5	375	2.5			12.5		
00033626	Fairhaven, organic whole rye flour	1393	10	1.67	73.33		333				13.3	0	
00033640	Granola cranberry and acai	1824	9.09	10.91	74.55	25.45	436	0.91	0.25	0.1	5.5	0	6
00033657													
00033664													
0003366500078	El Zarape hot salsa	418	0	0	50	50	100		23.75	9.5			
00033671	Cheddar	1715	25	34.4	0.1	0.1	410	21.7	1.68	0.672			17
000337	magic Dust	1142	7.9	4.6	46	40	273	0.7					
00033718	Cornish Cove Cheddar Slices	1715	25	34.4	0.1	0.1	410	21.7	1.68	0.672			
00033817	Mousse au chocolat	707	5.8	5.6	22.7	21.6	169	4.5	0.1	0.04	2.6	0	5
00033831													
0003383103405	Sussex Halloumi	1188	18.2	22.7	1.8	0.4	284	13.6	3	1.2			18
0003383900585	Turkish Dried Apricots	1255		0	72.5	37.5	300		0.0635	0.0254	10	50	
00033893	West country luxury yogurt Rhubarb Custard	561	2.9	7.1	14.5	14.5	134	4.8	0.1	0.04		0	7
00033909	Victoria plum and bergamot yogurt	527	2.8	6.7	13.7	13.7	126	4.6	0.08	0.032	0.5	0	7
00033975													
00034	Graines de Chia											0	
0003400044261	Reese's white												
0003404005893	Skyr Nature	264	11		4	4	63						
00034043	Pink salmon												
0003405090997	Pancetta	1833	15	43	0.5	0.5	438	15					
00034067	Pink Salmon	536	21.10000038147	4.8000001907349	0.5	0.5	128	1.1000000238419	0.84	0.336			
00034098	Mini filet	490	22		1		117						
00034104													
0003413052826	Gnocchi pomme de terre	799	5.2	0.7	40.3	3.7	191	0.2	1.2	0.48			4
